"id","wms_sku_id","name","image_url","codes","dimensions_mm","weight_g","picking_preset","deleted","trajectory_preset","last_modified","wms_turnover_prediction_day","wms_turnover_prediction_week","wms_turnover_prediction_month","is_pickable_only_by_hupi"
282,"963381","Dr.Ensa Beer Crunch Kukuřice pražená s příchutí barbecue","https://cdn.rohlik.cz/images/grocery/products/1372721/1372721-1639048533071.jpg","{5907517586117,8586018187855}","{25,65,195}",64,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
288,"1391526","Yutaka Korean Kimchi","https://cdn.rohlik.cz/images/grocery/products/1403646/1403646-1609177564768.jpg","{5014276712142,5014276702143}","{80,80,80}",420,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
290,"1413178","Milka Choco Sticks sušenky máčené v mléčné čokoládě","https://cdn.rohlik.cz/images/grocery/products/1407995/1407995-1616534898733.jpg","{7622210406354,7622210406019}","{94,225,22}",168,"",False,"","2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
294,"943281","Poco Loco Salsa guacamole","https://cdn.rohlik.cz/images/grocery/products/1356741/1356741-1610658520928.jpg","{65412514999959,5412514999957}","{79,85,85}",494,"",False,"","2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
292,"946914","Koření od Antonína Chimichuri","https://cdn.rohlik.cz/images/grocery/products/1359621/1359621-1650441142903.jpg","{1530}","{130,80,80}",32,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
285,"943806","Semix Rýžová kaše s meruňkami bez lepku","https://cdn.rohlik.cz/images/grocery/products/1357171/1357171-1561452236.jpg","{8594019381790,8594019381806}","{135,110,18}",70,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
323,"904761","Orion Kakao na vaření","https://cdn.rohlik.cz/images/grocery/products/1300643/1300643-1619697423608.jpg","{8593893007703,8593893005969}","{53,96,158}",120,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
314,"1436893","Inkontinenční vložky pro ženy normal","https://cdn.rohlik.cz/images/grocery/products/1412742/1412742-1629733232711.jpg","{33222472676929,3222472676928}","{94,85,185}",13,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
334,"912348","Swissdent Colours Středně měkké zubní kartáčky","https://cdn.rohlik.cz/images/grocery/products/1318377/1318377-1653941362892.jpg","{7640126196152}","{18,59,225}",40,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
342,"908877","TePe Colour Soft zubní kartáčky","https://cdn.rohlik.cz/images/grocery/products/1311329/1311329-1655119208963.jpg","{7317400017648,7317400017631,7317400028347,7317400028354}","{230,90,18}",53,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
